Product;Min. Price;Max. Price;Link;Form Factor;Socket;Chipset;Memory slots;Connectors;Expansion
Gigabyte B650 AORUS ELITE AX V2;£166.00;£199.99;e-catalog.co.uk/GIGABYTE-B650-AORUS-ELITE-AX-V2.htm;ATX;AMD AM5;AMD B650;4 х DDR5, 8000 MHz;HDMI, DisplayPort, M.2;PCI-E 16x - 3
Asus TUF GAMING B650-PLUS WIFI;£159.99;£344.99;e-catalog.co.uk/ASUS-TUF-GAMING-B650-PLUS-WIFI.htm;ATX;AMD AM5;AMD B650;4 х DDR5, 6400 MHz;HDMI, DisplayPort, M.2;PCI-E 1x - 2, PCI-E 16x - 2
Gigabyte B550 AORUS ELITE V2;£114.49;£172.11;e-catalog.co.uk/GIGABYTE-B550-AORUS-ELITE-V2.htm;ATX;AMD AM4;AMD B550;4 х DDR4, 4733 MHz;HDMI, DisplayPort, M.2;PCI-E 1x - 1, PCI-E 16x - 3
ASRock B650M Pro RS;£131.99;£161.83;e-catalog.co.uk/ASROCK-B650M-PRO-RS.htm;micro-ATX;AMD AM5;AMD B650;4 х DDR5, 7200 MHz;HDMI, DisplayPort, M.2;PCI-E 16x - 2
Gigabyte B550M DS3H;£76.02;£110.08;e-catalog.co.uk/GIGABYTE-B550M-DS3H.htm;micro-ATX;AMD AM4;AMD B550;4 х DDR4, 4000 MHz;HDMI, M.2;PCI-E 1x - 1, PCI-E 16x - 2
ASRock B650 LiveMixer;£145.49;£159.98;e-catalog.co.uk/ASROCK-B650-LIVEMIXER.htm;ATX;AMD AM5;AMD B650;4 х DDR5, 6400 MHz;HDMI, DisplayPort, M.2;PCI-E 16x - 3
Asus ROG STRIX B550-F GAMING WIFI II;£149.99;£309.99;e-catalog.co.uk/ASUS-ROG-STRIX-B550-F-GAMING-WIFI-II.htm;ATX;AMD AM4;AMD B550;4 х DDR4, 5100 MHz;HDMI, DisplayPort, M.2;PCI-E 1x - 3, PCI-E 16x - 2
Asus TUF GAMING B650-E WIFI;£142.93;£225.99;e-catalog.co.uk/ASUS-TUF-GAMING-B650-E-WIFI.htm;ATX;AMD AM5;AMD B650;4 х DDR5, 8000 MHz;HDMI, DisplayPort, M.2;PCI-E 1x - 1, PCI-E 16x - 2
MSI MAG X870 TOMAHAWK WIFI;£279.99;£649.98;e-catalog.co.uk/MSI-MAG-X870-TOMAHAWK-WIFI.htm;ATX;AMD AM5;AMD X870;4 х DDR5, 8400 MHz;HDMI, M.2;PCI-E 16x - 3
Asus PRIME B450M-K II;£65.57;£139.99;e-catalog.co.uk/ASUS-PRIME-B450M-K-II.htm;micro-ATX;AMD AM4;AMD B450;2 х DDR4, 4400 MHz;HDMI, M.2;PCI-E 1x - 2, PCI-E 16x - 1
MSI MAG X870E TOMAHAWK WIFI;£309.69;£329.99;e-catalog.co.uk/MSI-MAG-X870E-TOMAHAWK-WIFI.htm;ATX;AMD AM5;AMD X870E;4 х DDR5, 8400 MHz;HDMI, M.2;PCI-E 16x - 3
ASRock B650M PG Lightning;£111.49;£125.91;e-catalog.co.uk/ASROCK-B650M-PG-LIGHTNING.htm;micro-ATX;AMD AM5;AMD B650;4 х DDR5, 7200 MHz;HDMI, DisplayPort, M.2;PCI-E 16x - 2
MSI B550M PRO-VDH;£83.99;£117.29;e-catalog.co.uk/MSI-B550M-PRO-VDH.htm;micro-ATX;AMD AM4;AMD B550;4 х DDR4, 4400 MHz;HDMI, DisplayPort, M.2;PCI-E 1x - 2, PCI-E 16x - 1
