Product;Min. Price;Max. Price;Link;Form Factor;Socket;Chipset;Memory slots;Connectors;Expansion
Gigabyte B450M DS3H WIFI;£79.99;£91.99;e-catalog.co.uk/GIGABYTE-B450M-DS3H-WIFI.htm;micro-ATX;AMD AM4;AMD B450;4 х DDR4, 2933 MHz;HDMI, M.2;PCI-E 1x - 1, PCI-E 16x - 2
MSI PRO B760M-P DDR4;£85.99;£117.29;e-catalog.co.uk/MSI-PRO-B760M-P-DDR4.htm;micro-ATX;Intel LGA 1700;Intel B760;4 х DDR4, 4800 MHz;HDMI, DisplayPort, M.2;PCI-E 1x - 2, PCI-E 16x - 1
ASRock Z690 PG Riptide;£164.59;£239.99;e-catalog.co.uk/ASROCK-Z690-PG-RIPTIDE.htm;ATX;Intel LGA 1700;Intel Z690;4 х DDR4, 4800 MHz;HDMI, M.2;PCI-E 1x - 3, PCI-E 16x - 2
Asus TUF GAMING B650M-E WIFI;£161.48;£191.75;e-catalog.co.uk/ASUS-TUF-GAMING-B650M-E-WIFI.htm;micro-ATX;AMD AM5;AMD B650;4 х DDR5, 7600 MHz;HDMI, DisplayPort, M.2;PCI-E 1x - 2, PCI-E 16x - 1
ASRock A520M Phantom Gaming 4;£65.99;£113.30;e-catalog.co.uk/ASROCK-A520M-PHANTOM-GAMING-4.htm;micro-ATX;AMD AM4;AMD A520;4 х DDR4, 4733 MHz;HDMI, DisplayPort, M.2;PCI-E 1x - 1, PCI-E 16x - 2
ASRock B850 Riptide WiFi;£210.00;£245.14;e-catalog.co.uk/ASROCK-B850-RIPTIDE-WIFI.htm;ATX;AMD AM5;AMD B850;4 х DDR5, 8000 MHz;HDMI, M.2;PCI-E 16x - 2
Gigabyte B850 AORUS ELITE WIFI7;£219.99;£263.48;e-catalog.co.uk/GIGABYTE-B850-AORUS-ELITE-WIFI7.htm;ATX;AMD AM5;AMD B850;4 х DDR5, 8200 MHz;HDMI, DisplayPort, M.2;PCI-E 16x - 3
Gigabyte B850M D3HP;£129.49;£137.84;e-catalog.co.uk/GIGABYTE-B850M-D3HP.htm;micro-ATX;AMD AM5;AMD B850;4 х DDR5, 8200 MHz;HDMI, DisplayPort, M.2;PCI-E 16x - 2
Gigabyte B550 AORUS ELITE AX V2;£119.99;£149.99;e-catalog.co.uk/GIGABYTE-B550-AORUS-ELITE-AX-V2.htm;ATX;AMD AM4;AMD B550;4 х DDR4, 4733 MHz;HDMI, DisplayPort, M.2;PCI-E 1x - 1, PCI-E 16x - 3
MSI PRO X870-P WIFI;£239.95;£279.53;e-catalog.co.uk/MSI-PRO-X870-P-WIFI.htm;ATX;AMD AM5;AMD X870;4 х DDR5, 8200 MHz;HDMI, M.2;PCI-E 16x - 4
MSI B760M GAMING PLUS WIFI;£133.52;£191.73;e-catalog.co.uk/MSI-B760M-GAMING-PLUS-WIFI.htm;micro-ATX;Intel LGA 1700;Intel B760;4 х DDR5, 6800 MHz;HDMI, DisplayPort, M.2;PCI-E 1x - 1, PCI-E 16x - 2
Asus PRIME B660M-K D4;£83.99;£179.99;e-catalog.co.uk/ASUS-PRIME-B660M-K-D4.htm;micro-ATX;Intel LGA 1700;Intel B660;2 х DDR4, 5333 MHz;HDMI, M.2;PCI-E 1x - 2, PCI-E 16x - 1
Gigabyte B760M DS3H DDR4;£84.99;£119.99;e-catalog.co.uk/GIGABYTE-B760M-DS3H-DDR4.htm;micro-ATX;Intel LGA 1700;Intel B760;4 х DDR4, 5333 MHz;HDMI, DisplayPort, M.2;PCI-E 1x - 2, PCI-E 16x - 1
MSI B760 GAMING PLUS WIFI DDR4;£138.99;£151.81;e-catalog.co.uk/MSI-B760-GAMING-PLUS-WIFI-DDR4.htm;ATX;Intel LGA 1700;Intel B760;4 х DDR4, 5333 MHz;HDMI, DisplayPort, M.2;PCI-E 16x - 5
ASRock B450M/ac R2.0;£74.46;£85.99;e-catalog.co.uk/ASROCK-B450M-AC-R2-0.htm;micro-ATX;AMD AM4;AMD B450;4 х DDR4, 3200 MHz;HDMI, M.2;PCI-E 16x - 2
Asus ROG STRIX B650E-F GAMING WIFI;£203.15;£379.99;e-catalog.co.uk/ASUS-ROG-STRIX-B650E-F-GAMING-WIFI.htm;ATX;AMD AM5;AMD B650E;4 х DDR5, 8000 MHz;HDMI, DisplayPort, M.2;PCI-E 1x - 2, PCI-E 16x - 2
Asus TUF GAMING X870-PLUS WIFI;£309.88;£769.98;e-catalog.co.uk/ASUS-TUF-GAMING-X870-PLUS-WIFI.htm;ATX;AMD AM5;AMD X870;4 х DDR5, 8000 MHz;HDMI, M.2;PCI-E 16x - 2
Asus ROG STRIX B650E-I GAMING WIFI;£232.97;£298.99;e-catalog.co.uk/ASUS-ROG-STRIX-B650E-I-GAMING-WIFI.htm;mini-ITX;AMD AM5;AMD B650E;2 х DDR5, 8000 MHz;HDMI, M.2;PCI-E 16x - 1
Asus PRIME B550M-A WIFI II;£99.99;£180.01;e-catalog.co.uk/ASUS-PRIME-B550M-A-WIFI-II.htm;micro-ATX;AMD AM4;AMD B550;4 х DDR4, 4866 MHz;HDMI, M.2;PCI-E 1x - 2, PCI-E 16x - 1
MSI MAG X670E TOMAHAWK WIFI;£248.43;£289.99;e-catalog.co.uk/MSI-MAG-X670E-TOMAHAWK-WIFI.htm;ATX;AMD AM5;AMD X670E;4 х DDR5, 7800 MHz;HDMI, DisplayPort, M.2;PCI-E 1x - 1, PCI-E 16x - 3
MSI PRO B850-P WIFI;£176.22;£247.21;e-catalog.co.uk/MSI-PRO-B850-P-WIFI.htm;ATX;AMD AM5;AMD B850;4 х DDR5, 8200 MHz;HDMI, M.2;PCI-E 16x - 4
Gigabyte X870 AORUS ELITE WIFI7;£266.14;£309.79;e-catalog.co.uk/GIGABYTE-X870-AORUS-ELITE-WIFI7.htm;ATX;AMD AM5;AMD X870;4 х DDR5, 8000 MHz;HDMI, M.2;PCI-E 16x - 3
MSI PRO Z790-A MAX WIFI;£239.99;£274.88;e-catalog.co.uk/MSI-PRO-Z790-A-MAX-WIFI.htm;ATX;Intel LGA 1700;Intel Z790;4 х DDR5, 7800 MHz;HDMI, DisplayPort, M.2;PCI-E 1x - 1, PCI-E 16x - 3
ASRock X870E Taichi;£460.99;£479.99;e-catalog.co.uk/ASROCK-X870E-TAICHI.htm;E-ATX;AMD AM5;AMD X870E;4 х DDR5, 8200 MHz;HDMI, M.2;PCI-E 16x - 2
MSI PRO A620M-E;£73.99;£150.32;e-catalog.co.uk/MSI-PRO-A620M-E.htm;micro-ATX;AMD AM5;AMD A620;2 х DDR5, 6400 MHz;HDMI, M.2;PCI-E 1x - 1, PCI-E 16x - 1
Asus PRIME A620M-K;£80.49;£116.24;e-catalog.co.uk/ASUS-PRIME-A620M-K.htm;micro-ATX;AMD AM5;AMD A620;2 х DDR5, 6400 MHz;HDMI, M.2;PCI-E 1x - 1, PCI-E 16x - 1
Gigabyte B650M AORUS ELITE AX;£120.99;£269.99;e-catalog.co.uk/GIGABYTE-B650M-AORUS-ELITE-AX.htm;micro-ATX;AMD AM5;AMD B650;4 х DDR5, 8000 MHz;HDMI, DisplayPort, M.2;PCI-E 16x - 2
Gigabyte X870E AORUS ELITE WIFI7;£274.99;£313.89;e-catalog.co.uk/GIGABYTE-X870E-AORUS-ELITE-WIFI7.htm;ATX;AMD AM5;AMD X870E;4 х DDR5, 8000 MHz;HDMI, M.2;PCI-E 16x - 3
Gigabyte B760M D3H DDR5;£97.99;£108.98;e-catalog.co.uk/GIGABYTE-B760M-D3H-DDR5.htm;micro-ATX;Intel LGA 1700;Intel B760;4 х DDR5, 7600 MHz;HDMI, DisplayPort, M.2;PCI-E 1x - 1, PCI-E 16x - 2
ASRock B650M Pro RS WiFi;£119.25;£159.69;e-catalog.co.uk/ASROCK-B650M-PRO-RS-WIFI.htm;micro-ATX;AMD AM5;AMD B650;4 х DDR5, 7200 MHz;HDMI, DisplayPort, M.2;PCI-E 16x - 2
ASRock X870 Riptide WiFi;£266.99;£289.99;e-catalog.co.uk/ASROCK-X870-RIPTIDE-WIFI.htm;ATX;AMD AM5;AMD X870;4 х DDR5, 8000 MHz;HDMI, M.2;PCI-E 16x - 2
Asus ROG STRIX B650-A GAMING WIFI;£187.98;£249.99;e-catalog.co.uk/ASUS-ROG-STRIX-B650-A-GAMING-WIFI.htm;ATX;AMD AM5;AMD B650;4 х DDR5, 6400 MHz;HDMI, DisplayPort, M.2;PCI-E 1x - 2, PCI-E 16x - 2
Asus ROG MAXIMUS Z790 HERO BTF;£647.99;£703.23;e-catalog.co.uk/ASUS-ROG-MAXIMUS-Z790-HERO-BTF.htm;ATX;Intel LGA 1700;Intel Z790;4 х DDR5, 8000 MHz;HDMI, Thunderbolt 4, M.2;PCI-E 1x - 1, PCI-E 16x - 1
MSI PRO B760-P DDR4 II;£114.99;£146.10;e-catalog.co.uk/MSI-PRO-B760-P-DDR4-II.htm;ATX;Intel LGA 1700;Intel B760;4 х DDR4, 5333 MHz;HDMI, DisplayPort, M.2;PCI-E 16x - 5
MSI A520M-A PRO;£48.31;£82.76;e-catalog.co.uk/MSI-A520M-A-PRO.htm;micro-ATX;AMD AM4;AMD A520;2 х DDR4, 4600 MHz;HDMI, M.2;PCI-E 1x - 1, PCI-E 16x - 1
Asus ROG STRIX X870E-E GAMING WIFI;£468.98;£615.95;e-catalog.co.uk/ASUS-ROG-STRIX-X870E-E-GAMING-WIFI.htm;ATX;AMD AM5;AMD X870E;4 х DDR5, 8000 MHz;HDMI, M.2;PCI-E 16x - 2
Gigabyte B760M GAMING X DDR4;£108.41;£169.99;e-catalog.co.uk/GIGABYTE-B760M-GAMING-X-DDR4.htm;micro-ATX;Intel LGA 1700;Intel B760;4 х DDR4, 5333 MHz;HDMI, DisplayPort, M.2;PCI-E 16x - 2
ASRock B760 Pro RS/D4;£110.49;£120.98;e-catalog.co.uk/ASROCK-B760-PRO-RS-D4.htm;ATX;Intel LGA 1700;Intel B760;4 х DDR4, 5333 MHz;HDMI, DisplayPort, M.2;PCI-E 1x - 1, PCI-E 16x - 3
Asus ROG STRIX B760-G GAMING WIFI DDR5;£159.99;£289.14;e-catalog.co.uk/ASUS-ROG-STRIX-B760-G-GAMING-WIFI-DDR5.htm;micro-ATX;Intel LGA 1700;Intel B760;4 х DDR5, 7800 MHz;HDMI, DisplayPort, M.2;PCI-E 1x - 2, PCI-E 16x - 2
Gigabyte B760I AORUS PRO DDR4;£169.99;£209.95;e-catalog.co.uk/GIGABYTE-B760I-AORUS-PRO-DDR4.htm;mini-ITX;Intel LGA 1700;Intel B760;2 х DDR4, 5333 MHz;HDMI, DisplayPort, M.2;PCI-E 16x - 1
Asus PRIME B760-PLUS D4;£110.82;£183.60;e-catalog.co.uk/ASUS-PRIME-B760-PLUS-D4.htm;ATX;Intel LGA 1700;Intel B760;4 х DDR4, 5066 MHz;HDMI, DisplayPort, M.2;PCI-E 1x - 2, PCI-E 16x - 2
Asus TUF GAMING B760M-BTF WIFI DDR4;£145.02;£249.98;e-catalog.co.uk/ASUS-TUF-GAMING-B760M-BTF-WIFI-DDR4.htm;micro-ATX;Intel LGA 1700;Intel B760;4 х DDR4, 5333 MHz;HDMI, DisplayPort, M.2;PCI-E 1x - 1, PCI-E 16x - 2
MSI MPG B650I EDGE WIFI;£199.99;£285.83;e-catalog.co.uk/MSI-MPG-B650I-EDGE-WIFI.htm;mini-ITX;AMD AM5;AMD B650;2 х DDR5, 6600 MHz;HDMI, M.2;PCI-E 16x - 1
ASRock B850 Steel Legend WiFi;£200.00;£228.99;e-catalog.co.uk/ASROCK-B850-STEEL-LEGEND-WIFI.htm;ATX;AMD AM5;AMD B850;4 х DDR5, 8000 MHz;HDMI, M.2;PCI-E 16x - 2
Asus ROG STRIX B850-I GAMING WIFI;£277.04;£356.59;e-catalog.co.uk/ASUS-ROG-STRIX-B850-I-GAMING-WIFI.htm;mini-ITX;AMD AM5;AMD B850;2 х DDR5, 8400 MHz;HDMI, M.2;PCI-E 16x - 1
ASRock B850M Steel Legend WiFi;£166.00;£175.99;e-catalog.co.uk/ASROCK-B850M-STEEL-LEGEND-WIFI.htm;micro-ATX;AMD AM5;AMD B850;4 х DDR5, 8000 MHz;HDMI, DisplayPort, M.2;PCI-E 4x - 1, PCI-E 16x - 1
ASRock B760M-HDV/M.2 DDR4;£79.99;£119.99;e-catalog.co.uk/ASROCK-B760M-HDV-M-2-DDR4.htm;micro-ATX;Intel LGA 1700;Intel B760;2 х DDR4, 5333 MHz;HDMI, DisplayPort, M.2;PCI-E 1x - 2, PCI-E 16x - 1
ASRock B550 Phantom Gaming 4;£87.99;£143.99;e-catalog.co.uk/ASROCK-B550-PHANTOM-GAMING-4.htm;ATX;AMD AM4;AMD B550;4 х DDR4, 4533 MHz;HDMI, M.2;PCI-E 1x - 2, PCI-E 16x - 2
ASRock B550 Extreme4;£165.50;£256.13;e-catalog.co.uk/ASROCK-B550-EXTREME4.htm;ATX;AMD AM4;AMD B550;4 х DDR4, 4733 MHz;HDMI, M.2;PCI-E 1x - 2, PCI-E 16x - 2
MSI PRO Z790-S WIFI;£169.95;£174.99;e-catalog.co.uk/MSI-PRO-Z790-S-WIFI.htm;ATX;Intel LGA 1700;Intel Z790;4 х DDR5, 6600 MHz;HDMI, DisplayPort, M.2;PCI-E 1x - 3, PCI-E 16x - 2
ASRock X870 Steel Legend WiFi;£247.99;£350.98;e-catalog.co.uk/ASROCK-X870-STEEL-LEGEND-WIFI.htm;ATX;AMD AM5;AMD X870;4 х DDR5, 8000 MHz;HDMI, M.2;PCI-E 16x - 2
Asus PRIME B650-PLUS;£133.99;£176.39;e-catalog.co.uk/ASUS-PRIME-B650-PLUS.htm;ATX;AMD AM5;AMD B650;4 х DDR5, 7600 MHz;HDMI, DisplayPort, M.2;PCI-E 1x - 2, PCI-E 16x - 2
ASRock B550 PG Velocita;£157.99;£299.99;e-catalog.co.uk/ASROCK-B550-PG-VELOCITA.htm;ATX;AMD AM4;AMD B550;4 х DDR4, 4733 MHz;HDMI, M.2;PCI-E 1x - 2, PCI-E 16x - 2
ASRock A520M-ITX/ac;£97.99;£149.99;e-catalog.co.uk/ASROCK-A520M-ITX-AC.htm;mini-ITX;AMD AM4;AMD A520;2 х DDR4, 4733 MHz;HDMI, DisplayPort, M.2;PCI-E 16x - 1
MSI PRO B650M-P;£108.89;£139.93;e-catalog.co.uk/MSI-PRO-B650M-P.htm;micro-ATX;AMD AM5;AMD B650;4 х DDR5, 6000 MHz;HDMI, DisplayPort, M.2;PCI-E 1x - 2, PCI-E 16x - 1
MSI B450M-A PRO MAX II;£55.99;£74.88;e-catalog.co.uk/MSI-B450M-A-PRO-MAX-II.htm;micro-ATX;AMD AM4;AMD B450;2 х DDR4, 4133 MHz;HDMI, M.2;PCI-E 1x - 1, PCI-E 16x - 1
ASRock B850M-X;£110.00;£132.52;e-catalog.co.uk/ASROCK-B850M-X.htm;micro-ATX;AMD AM5;AMD B850;2 х DDR5, 8200 MHz;HDMI, DisplayPort, M.2;PCI-E 1x - 1, PCI-E 16x - 2
MSI B650M PROJECT ZERO;£209.99;£287.00;e-catalog.co.uk/MSI-B650M-PROJECT-ZERO.htm;micro-ATX;AMD AM5;AMD B650;4 х DDR5, 7600 MHz;HDMI, DisplayPort, M.2;PCI-E 1x - 1, PCI-E 16x - 1
Asus ROG STRIX X870-F GAMING WIFI;£389.98;£558.99;e-catalog.co.uk/ASUS-ROG-STRIX-X870-F-GAMING-WIFI.htm;ATX;AMD AM5;AMD X870;4 х DDR5, 8000 MHz;HDMI, DisplayPort, M.2;PCI-E 16x - 2
Asus ROG STRIX B760-I GAMING WIFI;£175.98;£249.66;e-catalog.co.uk/ASUS-ROG-STRIX-B760-I-GAMING-WIFI.htm;mini-ITX;Intel LGA 1700;Intel B760;2 х DDR5, 7600 MHz;HDMI, DisplayPort, M.2;PCI-E 16x - 1
Asus ProArt X870E-Creator WiFi;£473.99;£569.90;e-catalog.co.uk/ASUS-PROART-X870E-CREATOR-WIFI.htm;ATX;AMD AM5;AMD X870E;4 х DDR5, 8000 MHz;HDMI, DisplayPort, M.2;PCI-E 16x - 3
Asus PRIME H610M-A WIFI DDR4;£74.99;£115.49;e-catalog.co.uk/ASUS-PRIME-H610M-A-WIFI-DDR4.htm;micro-ATX;Intel LGA 1700;Intel H610;2 х DDR4, 3200 MHz;HDMI, DisplayPort, M.2;PCI-E 1x - 1, PCI-E 16x - 1
Asus PRIME B760M-A D4-CSM;£100.99;£123.66;e-catalog.co.uk/ASUS-PRIME-B760M-A-D4-CSM.htm;micro-ATX;Intel LGA 1700;Intel B760;4 х DDR4, 5333 MHz;HDMI, DisplayPort, M.2;PCI-E 16x - 3
MSI MPG X870E CARBON WIFI;£409.99;£449.98;e-catalog.co.uk/MSI-MPG-X870E-CARBON-WIFI.htm;ATX;AMD AM5;AMD X870E;4 х DDR5, 8400 MHz;HDMI, M.2;PCI-E 16x - 3
Gigabyte B850M GAMING X WIFI6E;£174.99;£263.46;e-catalog.co.uk/GIGABYTE-B850M-GAMING-X-WIFI6E.htm;micro-ATX;AMD AM5;AMD B850;4 х DDR5, 8200 MHz;HDMI, DisplayPort, M.2;PCI-E 16x - 2
Gigabyte B650 AORUS ELITE AX ICE;£202.40;£210.12;e-catalog.co.uk/GIGABYTE-B650-AORUS-ELITE-AX-ICE.htm;ATX;AMD AM5;AMD B650;4 х DDR5, 8000 MHz;HDMI, DisplayPort, M.2;PCI-E 16x - 3
MSI B450 GAMING PLUS MAX;Price not available;Price not available;e-catalog.co.uk/MSI-B450-GAMING-PLUS-MAX.htm;ATX;AMD AM4;AMD B450;4 х DDR4, 4133 MHz;HDMI, M.2;PCI-E 1x - 4, PCI-E 16x - 2
Gigabyte X870E AORUS PRO ICE;£329.98;£360.00;e-catalog.co.uk/GIGABYTE-X870E-AORUS-PRO-ICE.htm;ATX;AMD AM5;AMD X870E;4 х DDR5, 8000 MHz;HDMI, M.2;PCI-E 16x - 3
Asus ROG STRIX Z790-H GAMING WIFI;£239.99;£440.62;e-catalog.co.uk/ASUS-ROG-STRIX-Z790-H-GAMING-WIFI.htm;ATX;Intel LGA 1700;Intel Z790;4 х DDR5, 7800 MHz;HDMI, DisplayPort, M.2;PCI-E 1x - 1, PCI-E 16x - 2
Gigabyte B850 GAMING WIFI6;£167.99;£260.21;e-catalog.co.uk/GIGABYTE-B850-GAMING-WIFI6.htm;ATX;AMD AM5;AMD B850;4 х DDR5, 8200 MHz;HDMI, DisplayPort, M.2;PCI-E 16x - 4
Gigabyte X870 EAGLE WIFI7;£196.49;£232.36;e-catalog.co.uk/GIGABYTE-X870-EAGLE-WIFI7.htm;ATX;AMD AM5;AMD X870;4 х DDR5, 8000 MHz;HDMI, M.2;PCI-E 16x - 3
Asus PRIME H510M-A;£70.99;£165.95;e-catalog.co.uk/ASUS-PRIME-H510M-A.htm;micro-ATX;Intel LGA 1200;Intel H510;2 х DDR4, 3200 MHz;HDMI, DisplayPort, M.2;PCI-E 1x - 2, PCI-E 16x - 1
MSI MAG B850 TOMAHAWK MAX WIFI;£234.99;£255.67;e-catalog.co.uk/MSI-MAG-B850-TOMAHAWK-MAX-WIFI.htm;ATX;AMD AM5;AMD B850;4 х DDR5, 8400 MHz;HDMI, M.2;PCI-E 16x - 3
ASRock A520M Pro4;£90.99;£95.64;e-catalog.co.uk/ASROCK-A520M-PRO4.htm;micro-ATX;AMD AM4;AMD A520;4 х DDR4, 4733 MHz;HDMI, DisplayPort, M.2;PCI-E 16x - 2
MSI Z790 GAMING PLUS WIFI;£175.99;£281.47;e-catalog.co.uk/MSI-Z790-GAMING-PLUS-WIFI.htm;ATX;Intel LGA 1700;Intel Z790;4 х DDR5, 7200 MHz;HDMI, DisplayPort, M.2;PCI-E 1x - 1, PCI-E 16x - 3
Asus ROG MAXIMUS Z890 EXTREME;£1,347.99;£1,463.02;e-catalog.co.uk/ASUS-ROG-MAXIMUS-Z890-EXTREME.htm;E-ATX;Intel LGA 1851;Intel Z890;4 х DDR5, 9200 MHz;HDMI, M.2;PCI-E 4x - 1, PCI-E 16x - 2
ASRock X870E Nova WiFi;£359.99;£578.00;e-catalog.co.uk/ASROCK-X870E-NOVA-WIFI.htm;ATX;AMD AM5;AMD X870E;4 х DDR5, 8200 MHz;HDMI, M.2;PCI-E 1x - 1, PCI-E 16x - 2
Gigabyte X870E AORUS PRO;£327.99;£364.99;e-catalog.co.uk/GIGABYTE-X870E-AORUS-PRO.htm;ATX;AMD AM5;AMD X870E;4 х DDR5, 8000 MHz;HDMI, M.2;PCI-E 16x - 3
Maxsun Terminator B550M;Price not available;Price not available;e-catalog.co.uk/MAXSUN-TERMINATOR-B550M.htm;micro-ATX;AMD AM4;AMD B550;2 х DDR4, 3800 MHz;HDMI, M.2;PCI-E 1x - 1, PCI-E 16x - 2
MSI MAG B760 TOMAHAWK WIFI DDR5;£169.98;£194.40;e-catalog.co.uk/MSI-MAG-B760-TOMAHAWK-WIFI-DDR5.htm;ATX;Intel LGA 1700;Intel B760;4 х DDR5, 7000 MHz;HDMI, DisplayPort, M.2;PCI-E 1x - 1, PCI-E 16x - 2
ASRock B760M-H2/M.2;£96.65;£126.30;e-catalog.co.uk/ASROCK-B760M-H2-M-2.htm;micro-ATX;Intel LGA 1700;Intel B760;2 х DDR5, 7200 MHz;HDMI, M.2;PCI-E 1x - 2, PCI-E 16x - 1
Gigabyte A520I AC;£92.99;£109.99;e-catalog.co.uk/GIGABYTE-A520I-AC.htm;mini-ITX;AMD AM4;AMD A520;2 х DDR4, 5100 MHz;HDMI, DisplayPort, M.2;PCI-E 16x - 1
Gigabyte X870E AORUS MASTER;£274.99;£516.78;e-catalog.co.uk/GIGABYTE-X870E-AORUS-MASTER.htm;ATX;AMD AM5;AMD X870E;4 х DDR5, 8200 MHz;HDMI, M.2;PCI-E 16x - 3
Gigabyte X870 AORUS ELITE WIFI7 ICE;£249.99;£368.12;e-catalog.co.uk/GIGABYTE-X870-AORUS-ELITE-WIFI7-ICE.htm;ATX;AMD AM5;AMD X870;4 х DDR5, 8000 MHz;HDMI, M.2;PCI-E 16x - 3
Asus TUF GAMING Z890-PRO WIFI;£299.99;£400.00;e-catalog.co.uk/ASUS-TUF-GAMING-Z890-PRO-WIFI.htm;ATX;Intel LGA 1851;Intel Z890;4 х DDR5, 9066 MHz;HDMI, DisplayPort, Thunderbolt 4, M.2;PCI-E 1x - 2, PCI-E 4x - 1, PCI-E 16x - 2
Asus TUF GAMING B760M-PLUS WIFI II;£99.99;£198.99;e-catalog.co.uk/ASUS-TUF-GAMING-B760M-PLUS-WIFI-II.htm;micro-ATX;Intel LGA 1700;Intel B760;4 х DDR5, 7800 MHz;HDMI, DisplayPort, M.2;PCI-E 1x - 1, PCI-E 4x - 1, PCI-E 16x - 1
Gigabyte Z790 AORUS ELITE AX ICE;£251.35;£331.81;e-catalog.co.uk/GIGABYTE-Z790-AORUS-ELITE-AX-ICE.htm;ATX;Intel LGA 1700;Intel Z790;4 х DDR5, 7600 MHz;HDMI, DisplayPort, M.2;PCI-E 16x - 3
Asus TUF GAMING B760M-PLUS WIFI D4;£167.99;£239.99;e-catalog.co.uk/ASUS-TUF-GAMING-B760M-PLUS-WIFI-D4.htm;micro-ATX;Intel LGA 1700;Intel B760;4 х DDR4, 5333 MHz;HDMI, DisplayPort, M.2;PCI-E 1x - 1, PCI-E 16x - 2
Asus PRIME X870-P WIFI;£239.99;£368.22;e-catalog.co.uk/ASUS-PRIME-X870-P-WIFI.htm;ATX;AMD AM5;AMD X870;4 х DDR5, 8000 MHz;HDMI, M.2;PCI-E 16x - 3
Asus TUF GAMING Z890-PLUS WIFI;£259.98;£370.00;e-catalog.co.uk/ASUS-TUF-GAMING-Z890-PLUS-WIFI.htm;ATX;Intel LGA 1851;Intel Z890;4 х DDR5, 9066 MHz;HDMI, DisplayPort, Thunderbolt 4, M.2;PCI-E 1x - 2, PCI-E 4x - 1, PCI-E 16x - 2
Asus PRIME N100I-D D4-CSM;£96.80;£112.60;e-catalog.co.uk/ASUS-PRIME-N100I-D-D4-CSM.htm;mini-ITX;embedded intel;;1 х DDR4, 3200 MHz;HDMI, DisplayPort, M.2;PCI-E 1x - 1
Asus PRIME B760M-A WIFI D4;£126.99;£150.47;e-catalog.co.uk/ASUS-PRIME-B760M-A-WIFI-D4.htm;micro-ATX;Intel LGA 1700;Intel B760;4 х DDR4, 5333 MHz;HDMI, DisplayPort, M.2;PCI-E 16x - 3
ASRock H470M-HDV;Price not available;Price not available;e-catalog.co.uk/ASROCK-H470M-HDV.htm;micro-ATX;Intel LGA 1200;Intel H470;2 х DDR4, 2933 MHz;HDMI;PCI-E 1x - 1, PCI-E 16x - 1
ASRock B650E Steel Legend WiFi;£225.17;£396.99;e-catalog.co.uk/ASROCK-B650E-STEEL-LEGEND-WIFI.htm;ATX;AMD AM5;AMD B650E;4 х DDR5, 6400 MHz;HDMI, DisplayPort, M.2;PCI-E 16x - 2
ASRock B550M-ITX/ac;£118.99;£145.32;e-catalog.co.uk/ASROCK-B550M-ITX-AC.htm;mini-ITX;AMD AM4;AMD B550;2 х DDR4, 4733 MHz;HDMI, DisplayPort, M.2;PCI-E 16x - 1
Asus TUF GAMING Z790-BTF WIFI;£277.51;£361.99;e-catalog.co.uk/ASUS-TUF-GAMING-Z790-BTF-WIFI.htm;ATX;Intel LGA 1700;Intel Z790;4 х DDR5, 7200 MHz;HDMI, DisplayPort, M.2;PCI-E 4x - 1, PCI-E 16x - 2
Asus ROG MAXIMUS Z790 HERO;£573.98;£899.99;e-catalog.co.uk/ASUS-ROG-MAXIMUS-Z790-HERO.htm;ATX;Intel LGA 1700;Intel Z790;4 х DDR5, 7800 MHz;HDMI, Thunderbolt 4, M.2;PCI-E 16x - 3
MSI PRO B760-P WIFI DDR4;£121.99;£152.15;e-catalog.co.uk/MSI-PRO-B760-P-WIFI-DDR4.htm;ATX;Intel LGA 1700;Intel B760;4 х DDR4, 5333 MHz;HDMI, DisplayPort, M.2;PCI-E 16x - 5
Asus PRIME Z890M-PLUS WIFI;£209.99;£269.99;e-catalog.co.uk/ASUS-PRIME-Z890M-PLUS-WIFI.htm;micro-ATX;Intel LGA 1851;Intel Z890;4 х DDR5, 8400 MHz;HDMI, DisplayPort, M.2;PCI-E 16x - 4
Asus PRIME B650M-A WIFI II;£129.98;£170.99;e-catalog.co.uk/ASUS-PRIME-B650M-A-WIFI-II.htm;micro-ATX;AMD AM5;AMD B650;4 х DDR5, 6400 MHz;HDMI, DisplayPort, M.2;PCI-E 16x - 3
Asus PRIME A520M-R;£50.53;£86.53;e-catalog.co.uk/ASUS-PRIME-A520M-R.htm;micro-ATX;AMD AM4;AMD A520;2 х DDR4, 5100 MHz;HDMI, M.2;PCI-E 1x - 1, PCI-E 16x - 1
MSI MAG Z890 TOMAHAWK WIFI;£263.99;£320.28;e-catalog.co.uk/MSI-MAG-Z890-TOMAHAWK-WIFI.htm;ATX;Intel LGA 1851;Intel Z890;4 х DDR5, 9200 MHz;HDMI, Thunderbolt 4, M.2;PCI-E 16x - 3
Gigabyte B850M DS3H;£139.99;£170.05;e-catalog.co.uk/GIGABYTE-B850M-DS3H.htm;micro-ATX;AMD AM5;AMD B850;4 х DDR5, 8200 MHz;HDMI, DisplayPort, M.2;PCI-E 16x - 2
ASRock B850I Lightning WiFi;£200.54;£230.08;e-catalog.co.uk/ASROCK-B850I-LIGHTNING-WIFI.htm;mini-ITX;AMD AM5;AMD B850;2 х DDR5, 8200 MHz;HDMI, M.2;PCI-E 16x - 1
